virus	age_group	season	iso_standard	IncRate1e5	CatchmentPop
ILI1e5	0-4	10/11	-26	NA	100000
ILI1e5	0-4	10/11	-25	NA	100000
ILI1e5	0-4	10/11	-24	NA	100000
ILI1e5	0-4	10/11	-23	NA	100000
ILI1e5	0-4	10/11	-22	NA	100000
ILI1e5	0-4	10/11	-21	NA	100000
ILI1e5	0-4	10/11	-20	NA	100000
ILI1e5	0-4	10/11	-19	NA	100000
ILI1e5	0-4	10/11	-18	NA	100000
ILI1e5	0-4	10/11	-17	NA	100000
ILI1e5	0-4	10/11	-16	NA	100000
ILI1e5	0-4	10/11	-15	NA	100000
ILI1e5	0-4	10/11	-14	NA	100000
ILI1e5	0-4	10/11	-13	NA	100000
ILI1e5	0-4	10/11	-12	20.675286670801725	100000
ILI1e5	0-4	10/11	-11	17.335665768363985	100000
ILI1e5	0-4	10/11	-10	32.471845434015734	100000
ILI1e5	0-4	10/11	-9	46.13026591866193	100000
ILI1e5	0-4	10/11	-8	29.818889481779088	100000
ILI1e5	0-4	10/11	-7	40.775907263936624	100000
ILI1e5	0-4	10/11	-6	62.07420971771754	100000
ILI1e5	0-4	10/11	-5	63.69716547613631	100000
ILI1e5	0-4	10/11	-4	69.88438691642739	100000
ILI1e5	0-4	10/11	-3	27.22668941607827	100000
ILI1e5	0-4	10/11	-2	92.8724109972728	100000
ILI1e5	0-4	10/11	-1	161.36507991004757	100000
ILI1e5	0-4	10/11	0	200.4008016032064	100000
ILI1e5	0-4	10/11	1	332.48859604662954	100000
ILI1e5	0-4	10/11	2	352.57696497162186	100000
ILI1e5	0-4	10/11	3	494.6732807339957	100000
ILI1e5	0-4	10/11	4	428.01717591505934	100000
ILI1e5	0-4	10/11	5	340.9760615160104	100000
ILI1e5	0-4	10/11	6	275.6176789054041	100000
ILI1e5	0-4	10/11	7	227.48016569542935	100000
ILI1e5	0-4	10/11	8	134.11542769557272	100000
ILI1e5	0-4	10/11	9	93.71632069724943	100000
ILI1e5	0-4	10/11	10	93.39037175393143	100000
ILI1e5	0-4	10/11	11	46.50325522786595	100000
ILI1e5	0-4	10/11	12	46.57594061567571	100000
ILI1e5	0-4	10/11	13	38.67378660994511	100000
ILI1e5	0-4	10/11	14	28.258250665556165	100000
ILI1e5	0-4	10/11	15	18.35458229206376	100000
ILI1e5	0-4	10/11	16	7.122760782079134	100000
ILI1e5	0-4	10/11	17	6.632839186813915	100000
ILI1e5	0-4	10/11	18	11.00317520198686	100000
ILI1e5	0-4	10/11	19	16.783131427176468	100000
ILI1e5	0-4	10/11	20	10.175010175010174	100000
ILI1e5	0-4	10/11	21	NA	100000
ILI1e5	0-4	10/11	22	NA	100000
ILI1e5	0-4	10/11	23	NA	100000
ILI1e5	0-4	10/11	24	NA	100000
ILI1e5	0-4	10/11	25	NA	100000
ILI1e5	0-4	10/11	26	NA	100000
ILI1e5	0-4	10/11	27	NA	100000
ILI1e5	0-4	10/11	28	NA	100000
ILI1e5	0-4	10/11	29	NA	100000
ILI1e5	0-4	10/11	30	NA	100000
ILI1e5	0-4	10/11	31	NA	100000
ILI1e5	0-4	10/11	32	NA	100000
ILI1e5	0-4	11/12	-26	NA	100000
ILI1e5	0-4	11/12	-25	NA	100000
ILI1e5	0-4	11/12	-24	NA	100000
ILI1e5	0-4	11/12	-23	NA	100000
ILI1e5	0-4	11/12	-22	NA	100000
ILI1e5	0-4	11/12	-21	NA	100000
ILI1e5	0-4	11/12	-20	NA	100000
ILI1e5	0-4	11/12	-19	NA	100000
ILI1e5	0-4	11/12	-18	NA	100000
ILI1e5	0-4	11/12	-17	NA	100000
ILI1e5	0-4	11/12	-16	NA	100000
ILI1e5	0-4	11/12	-15	NA	100000
ILI1e5	0-4	11/12	-14	NA	100000
ILI1e5	0-4	11/12	-13	NA	100000
ILI1e5	0-4	11/12	-12	16.105653084232568	100000
ILI1e5	0-4	11/12	-11	12.379301807378065	100000
ILI1e5	0-4	11/12	-10	15.916424302932962	100000
ILI1e5	0-4	11/12	-9	25.12785644603423	100000
ILI1e5	0-4	11/12	-8	20.180471069853258	100000
ILI1e5	0-4	11/12	-7	36.194559679260514	100000
ILI1e5	0-4	11/12	-6	33.507385586239636	100000
ILI1e5	0-4	11/12	-5	46.646142364026495	100000
ILI1e5	0-4	11/12	-4	61.32858660045174	100000
ILI1e5	0-4	11/12	-3	45.37205081669691	100000
ILI1e5	0-4	11/12	-2	50.004412154013586	100000
ILI1e5	0-4	11/12	-1	135.00302592989152	100000
ILI1e5	0-4	11/12	0	170.56620564351664	100000
ILI1e5	0-4	11/12	1	103.87297818667457	100000
ILI1e5	0-4	11/12	2	203.3341225296993	100000
ILI1e5	0-4	11/12	3	529.3739698857446	100000
ILI1e5	0-4	11/12	4	581.944653640235	100000
ILI1e5	0-4	11/12	5	593.9426276695825	100000
ILI1e5	0-4	11/12	6	682.2506115792335	100000
ILI1e5	0-4	11/12	7	655.1687025776247	100000
ILI1e5	0-4	11/12	8	420.09907222419884	100000
ILI1e5	0-4	11/12	9	276.8453969073644	100000
ILI1e5	0-4	11/12	10	140.6508933420602	100000
ILI1e5	0-4	11/12	11	84.21643624113973	100000
ILI1e5	0-4	11/12	12	64.5790878562613	100000
ILI1e5	0-4	11/12	13	29.216700265871975	100000
ILI1e5	0-4	11/12	14	22.363502763489983	100000
ILI1e5	0-4	11/12	15	16.715800990791113	100000
ILI1e5	0-4	11/12	16	25.847257910021135	100000
ILI1e5	0-4	11/12	17	17.834849295523455	100000
ILI1e5	0-4	11/12	18	15.714869409435208	100000
ILI1e5	0-4	11/12	19	15.366648226688794	100000
ILI1e5	0-4	11/12	20	14.949917775452235	100000
ILI1e5	0-4	11/12	21	NA	100000
ILI1e5	0-4	11/12	22	NA	100000
ILI1e5	0-4	11/12	23	NA	100000
ILI1e5	0-4	11/12	24	NA	100000
ILI1e5	0-4	11/12	25	NA	100000
ILI1e5	0-4	11/12	26	NA	100000
ILI1e5	0-4	11/12	27	NA	100000
ILI1e5	0-4	11/12	28	NA	100000
ILI1e5	0-4	11/12	29	NA	100000
ILI1e5	0-4	11/12	30	NA	100000
ILI1e5	0-4	11/12	31	NA	100000
ILI1e5	0-4	11/12	32	NA	100000
ILI1e5	0-4	12/13	-26	NA	100000
ILI1e5	0-4	12/13	-25	NA	100000
ILI1e5	0-4	12/13	-24	NA	100000
ILI1e5	0-4	12/13	-23	NA	100000
ILI1e5	0-4	12/13	-22	NA	100000
ILI1e5	0-4	12/13	-21	NA	100000
ILI1e5	0-4	12/13	-20	NA	100000
ILI1e5	0-4	12/13	-19	NA	100000
ILI1e5	0-4	12/13	-18	NA	100000
ILI1e5	0-4	12/13	-17	NA	100000
ILI1e5	0-4	12/13	-16	NA	100000
ILI1e5	0-4	12/13	-15	NA	100000
ILI1e5	0-4	12/13	-14	NA	100000
ILI1e5	0-4	12/13	-13	NA	100000
ILI1e5	0-4	12/13	-12	18.576060524182655	100000
ILI1e5	0-4	12/13	-11	14.91968237653963	100000
ILI1e5	0-4	12/13	-10	4.783392062758104	100000
ILI1e5	0-4	12/13	-9	29.580732045274086	100000
ILI1e5	0-4	12/13	-8	19.55512099731117	100000
ILI1e5	0-4	12/13	-7	22.80675079823628	100000
ILI1e5	0-4	12/13	-6	39.08815159948716	100000
ILI1e5	0-4	12/13	-5	37.05852023717453	100000
ILI1e5	0-4	12/13	-4	38.93656454903671	100000
ILI1e5	0-4	12/13	-3	66.32688682538574	100000
ILI1e5	0-4	12/13	-2	58.05651880560481	100000
ILI1e5	0-4	12/13	-1	68.54479402289395	100000
ILI1e5	0-4	12/13	0	54.62404407922862	100000
ILI1e5	0-4	12/13	1	44.471739268545775	100000
ILI1e5	0-4	12/13	2	95.15515128056255	100000
ILI1e5	0-4	12/13	3	226.67978272956674	100000
ILI1e5	0-4	12/13	4	412.22542841999876	100000
ILI1e5	0-4	12/13	5	489.2439355658434	100000
ILI1e5	0-4	12/13	6	514.4924545692157	100000
