CoVirus	age_group	season	iso_standard	Inc	CatchmentPop
Influenza+RSV	<6m	10/11	-26	NA	0
Influenza+RSV	<6m	10/11	0	NA	0
Influenza+RSV	<6m	10/11	32	NA	0
Influenza+RSV	<6m	11/12	-26	NA	9278
Influenza+RSV	<6m	11/12	0	0	9278
Influenza+RSV	<6m	11/12	32	NA	9278
Influenza+RSV	<6m	12/13	-26	NA	5702
Influenza+RSV	<6m	12/13	0	0	5702
Influenza+RSV	<6m	12/13	32	NA	5702
Influenza+RSV	<6m	13/14	-26	NA	6219
Influenza+RSV	<6m	13/14	0	0	6219
Influenza+RSV	<6m	13/14	32	NA	6219
Influenza+RSV	<6m	14/15	-26	NA	9207
Influenza+RSV	<6m	14/15	0	0	9207
Influenza+RSV	<6m	14/15	32	NA	9207
Influenza+RSV	<6m	15/16	-26	NA	4778
Influenza+RSV	<6m	15/16	0	0	4778
Influenza+RSV	<6m	15/16	32	NA	4778
Influenza+RSV	<6m	16/17	-26	NA	4574
Influenza+RSV	<6m	16/17	0	0	4574
Influenza+RSV	<6m	16/17	32	NA	4574
Influenza+RSV	<6m	17/18	-26	NA	4363
Influenza+RSV	<6m	17/18	0	0	4363
Influenza+RSV	<6m	17/18	32	NA	4363
Influenza+RSV	<6m	18/19	-26	NA	4327
Influenza+RSV	<6m	18/19	0	0	4327
Influenza+RSV	<6m	18/19	32	NA	4327
Influenza+RSV	<6m	19/20	-26	NA	4308
Influenza+RSV	<6m	19/20	0	0	4308
Influenza+RSV	<6m	19/20	32	NA	4308
Influenza+RSV	<6m	20/21	-26	NA	2865
Influenza+RSV	<6m	20/21	0	0	2865
Influenza+RSV	<6m	20/21	32	NA	2865
Influenza+RSV	6-12m	10/11	-26	NA	0
Influenza+RSV	6-12m	10/11	0	NA	0
Influenza+RSV	6-12m	10/11	32	NA	0
Influenza+RSV	6-12m	11/12	-26	NA	9278
Influenza+RSV	6-12m	11/12	0	1	9278
Influenza+RSV	6-12m	11/12	32	NA	9278
Influenza+RSV	6-12m	12/13	-26	NA	5701
Influenza+RSV	6-12m	12/13	0	0	5701
Influenza+RSV	6-12m	12/13	32	NA	5701
Influenza+RSV	6-12m	13/14	-26	NA	6218
Influenza+RSV	6-12m	13/14	0	0	6218
Influenza+RSV	6-12m	13/14	32	NA	6218
Influenza+RSV	6-12m	14/15	-26	NA	9207
Influenza+RSV	6-12m	14/15	0	0	9207
Influenza+RSV	6-12m	14/15	32	NA	9207
Influenza+RSV	6-12m	15/16	-26	NA	4778
Influenza+RSV	6-12m	15/16	0	0	4778
Influenza+RSV	6-12m	15/16	32	NA	4778
Influenza+RSV	6-12m	16/17	-26	NA	4573
Influenza+RSV	6-12m	16/17	0	0	4573
Influenza+RSV	6-12m	16/17	32	NA	4573
Influenza+RSV	6-12m	17/18	-26	NA	4363
Influenza+RSV	6-12m	17/18	0	0	4363
Influenza+RSV	6-12m	17/18	32	NA	4363
Influenza+RSV	6-12m	18/19	-26	NA	4326
Influenza+RSV	6-12m	18/19	0	0	4326
Influenza+RSV	6-12m	18/19	32	NA	4326
Influenza+RSV	6-12m	19/20	-26	NA	4307
Influenza+RSV	6-12m	19/20	0	0	4307
Influenza+RSV	6-12m	19/20	32	NA	4307
Influenza+RSV	6-12m	20/21	-26	NA	2865
Influenza+RSV	6-12m	20/21	0	NA	2865
Influenza+RSV	6-12m	20/21	32	NA	2865
Influenza+RSV	1	10/11	-26	NA	0
Influenza+RSV	1	10/11	0	NA	0
Influenza+RSV	1	10/11	32	NA	0
Influenza+RSV	1	11/12	-26	NA	19620
Influenza+RSV	1	11/12	0	0	19620
Influenza+RSV	1	11/12	32	NA	19620
Influenza+RSV	1	12/13	-26	NA	12524
Influenza+RSV	1	12/13	0	0	12524
Influenza+RSV	1	12/13	32	NA	12524
Influenza+RSV	1	13/14	-26	NA	13633
Influenza+RSV	1	13/14	0	0	13633
Influenza+RSV	1	13/14	32	NA	13633
Influenza+RSV	1	14/15	-26	NA	19353
Influenza+RSV	1	14/15	0	0	19353
Influenza+RSV	1	14/15	32	NA	19353
Influenza+RSV	1	15/16	-26	NA	9799
Influenza+RSV	1	15/16	0	0	9799
Influenza+RSV	1	15/16	32	NA	9799
Influenza+RSV	1	16/17	-26	NA	9656
Influenza+RSV	1	16/17	0	0	9656
Influenza+RSV	1	16/17	32	NA	9656
Influenza+RSV	1	17/18	-26	NA	9445
Influenza+RSV	1	17/18	0	0	9445
Influenza+RSV	1	17/18	32	NA	9445
Influenza+RSV	1	18/19	-26	NA	9366
Influenza+RSV	1	18/19	0	0	9366
Influenza+RSV	1	18/19	32	NA	9366
Influenza+RSV	1	19/20	-26	NA	8786
Influenza+RSV	1	19/20	0	0	8786
Influenza+RSV	1	19/20	32	NA	8786
Influenza+RSV	1	20/21	-26	NA	6239
Influenza+RSV	1	20/21	0	NA	6239
Influenza+RSV	1	20/21	32	NA	6239
Influenza+RSV	2-4	10/11	-26	NA	0
Influenza+RSV	2-4	10/11	0	NA	0
Influenza+RSV	2-4	10/11	32	NA	0
Influenza+RSV	2-4	11/12	-26	NA	65457
Influenza+RSV	2-4	11/12	0	0	65457
Influenza+RSV	2-4	11/12	32	NA	65457
Influenza+RSV	2-4	12/13	-26	NA	41393
Influenza+RSV	2-4	12/13	0	0	41393
Influenza+RSV	2-4	12/13	32	NA	41393
Influenza+RSV	2-4	13/14	-26	NA	45317
Influenza+RSV	2-4	13/14	0	0	45317
Influenza+RSV	2-4	13/14	32	NA	45317
Influenza+RSV	2-4	14/15	-26	NA	64785
Influenza+RSV	2-4	14/15	0	0	64785
Influenza+RSV	2-4	14/15	32	NA	64785
Influenza+RSV	2-4	15/16	-26	NA	32638
Influenza+RSV	2-4	15/16	0	0	32638
Influenza+RSV	2-4	15/16	32	NA	32638
Influenza+RSV	2-4	16/17	-26	NA	30469
Influenza+RSV	2-4	16/17	0	0	30469
Influenza+RSV	2-4	16/17	32	NA	30469
Influenza+RSV	2-4	17/18	-26	NA	29435
Influenza+RSV	2-4	17/18	0	0	29435
Influenza+RSV	2-4	17/18	32	NA	29435
Influenza+RSV	2-4	18/19	-26	NA	30645
Influenza+RSV	2-4	18/19	0	0	30645
Influenza+RSV	2-4	18/19	32	NA	30645
Influenza+RSV	2-4	19/20	-26	NA	30024
Influenza+RSV	2-4	19/20	0	0	30024
Influenza+RSV	2-4	19/20	32	NA	30024
Influenza+RSV	2-4	20/21	-26	NA	20942
Influenza+RSV	2-4	20/21	0	NA	20942
Influenza+RSV	2-4	20/21	32	NA	20942
Influenza+RSV	5-17	10/11	-26	NA	0
Influenza+RSV	5-17	10/11	0	NA	0
Influenza+RSV	5-17	10/11	32	NA	0
Influenza+RSV	5-17	11/12	-26	NA	249490
Influenza+RSV	5-17	11/12	0	0	249490
Influenza+RSV	5-17	11/12	32	NA	249490
Influenza+RSV	5-17	12/13	-26	NA	164894
Influenza+RSV	5-17	12/13	0	0	164894
Influenza+RSV	5-17	12/13	32	NA	164894
Influenza+RSV	5-17	13/14	-26	NA	191161
Influenza+RSV	5-17	13/14	0	0	191161
Influenza+RSV	5-17	13/14	32	NA	191161
Influenza+RSV	5-17	14/15	-26	NA	282133
Influenza+RSV	5-17	14/15	0	0	282133
Influenza+RSV	5-17	14/15	32	NA	282133
Influenza+RSV	5-17	15/16	-26	NA	144939
Influenza+RSV	5-17	15/16	0	0	144939
Influenza+RSV	5-17	15/16	32	NA	144939
Influenza+RSV	5-17	16/17	-26	NA	145423
Influenza+RSV	5-17	16/17	0	0	145423
Influenza+RSV	5-17	16/17	32	NA	145423
Influenza+RSV	5-17	17/18	-26	NA	143414
Influenza+RSV	5-17	17/18	0	0	143414
Influenza+RSV	5-17	17/18	32	NA	143414
Influenza+RSV	5-17	18/19	-26	NA	149962
Influenza+RSV	5-17	18/19	0	0	149962
Influenza+RSV	5-17	18/19	32	NA	149962
Influenza+RSV	5-17	19/20	-26	NA	151048
Influenza+RSV	5-17	19/20	0	0	151048
Influenza+RSV	5-17	19/20	32	NA	151048
Influenza+RSV	5-17	20/21	-26	NA	111099
Influenza+RSV	5-17	20/21	0	0	111099
Influenza+RSV	5-17	20/21	32	NA	111099
Influenza+RSV	18-49	10/11	-26	NA	569073
Influenza+RSV	18-49	10/11	0	0	569073
Influenza+RSV	18-49	10/11	32	NA	569073
Influenza+RSV	18-49	11/12	-26	NA	1047310
Influenza+RSV	18-49	11/12	0	0	1047310
Influenza+RSV	18-49	11/12	32	NA	1047310
Influenza+RSV	18-49	12/13	-26	NA	582931
Influenza+RSV	18-49	12/13	0	0	582931
Influenza+RSV	18-49	12/13	32	NA	582931
Influenza+RSV	18-49	13/14	-26	NA	664489
Influenza+RSV	18-49	13/14	0	0	664489
Influenza+RSV	18-49	13/14	32	NA	664489
Influenza+RSV	18-49	14/15	-26	NA	1088213
Influenza+RSV	18-49	14/15	0	0	1088213
Influenza+RSV	18-49	14/15	32	NA	1088213
Influenza+RSV	18-49	15/16	-26	NA	487534
Influenza+RSV	18-49	15/16	0	0	487534
Influenza+RSV	18-49	15/16	32	NA	487534
Influenza+RSV	18-49	16/17	-26	NA	473141
Influenza+RSV	18-49	16/17	0	0	473141
Influenza+RSV	18-49	16/17	32	NA	473141
Influenza+RSV	18-49	17/18	-26	NA	463322
Influenza+RSV	18-49	17/18	0	0	463322
Influenza+RSV	18-49	17/18	32	NA	463322
Influenza+RSV	18-49	18/19	-26	NA	479829
Influenza+RSV	18-49	18/19	0	0	479829
Influenza+RSV	18-49	18/19	32	NA	479829
Influenza+RSV	18-49	19/20	-26	NA	478337
Influenza+RSV	18-49	19/20	0	0	478337
Influenza+RSV	18-49	19/20	32	NA	478337
Influenza+RSV	18-49	20/21	-26	NA	346573
Influenza+RSV	18-49	20/21	0	0	346573
Influenza+RSV	18-49	20/21	32	NA	346573
Influenza+RSV	50-64	10/11	-26	NA	205408
Influenza+RSV	50-64	10/11	0	0	205408
Influenza+RSV	50-64	10/11	32	NA	205408
Influenza+RSV	50-64	11/12	-26	NA	383442
Influenza+RSV	50-64	11/12	0	0	383442
Influenza+RSV	50-64	11/12	32	NA	383442
Influenza+RSV	50-64	12/13	-26	NA	226357
Influenza+RSV	50-64	12/13	0	0	226357
Influenza+RSV	50-64	12/13	32	NA	226357
Influenza+RSV	50-64	13/14	-26	NA	266113
Influenza+RSV	50-64	13/14	0	0	266113
Influenza+RSV	50-64	13/14	32	NA	266113
Influenza+RSV	50-64	14/15	-26	NA	451687
Influenza+RSV	50-64	14/15	0	0	451687
Influenza+RSV	50-64	14/15	32	NA	451687
Influenza+RSV	50-64	15/16	-26	NA	209315
Influenza+RSV	50-64	15/16	0	0	209315
Influenza+RSV	50-64	15/16	32	NA	209315
Influenza+RSV	50-64	16/17	-26	NA	214647
Influenza+RSV	50-64	16/17	0	0	214647
Influenza+RSV	50-64	16/17	32	NA	214647
Influenza+RSV	50-64	17/18	-26	NA	215012
Influenza+RSV	50-64	17/18	0	0	215012
Influenza+RSV	50-64	17/18	32	NA	215012
Influenza+RSV	50-64	18/19	-26	NA	228595
Influenza+RSV	50-64	18/19	0	0	228595
Influenza+RSV	50-64	18/19	32	0	228595
Influenza+RSV	50-64	19/20	-26	NA	234080
Influenza+RSV	50-64	19/20	0	0	234080
