virus	age_group	season	iso_standard	Inc	CatchmentPop
Influenza	<6m	10/11	-26	NA	0
Influenza	<6m	10/11	0	NA	0
Influenza	<6m	10/11	32	NA	0
Influenza	<6m	11/12	-26	NA	9278
Influenza	<6m	11/12	0	0	9278
Influenza	<6m	11/12	32	NA	9278
Influenza	<6m	12/13	-26	NA	5702
Influenza	<6m	12/13	0	0	5702
Influenza	<6m	12/13	32	NA	5702
Influenza	<6m	13/14	-26	NA	6219
Influenza	<6m	13/14	0	0	6219
Influenza	<6m	13/14	32	NA	6219
Influenza	<6m	14/15	-26	NA	9207
Influenza	<6m	14/15	0	0	9207
Influenza	<6m	14/15	32	NA	9207
Influenza	<6m	15/16	-26	NA	4778
Influenza	<6m	15/16	0	1	4778
Influenza	<6m	15/16	32	NA	4778
Influenza	<6m	16/17	-26	NA	4574
Influenza	<6m	16/17	0	1	4574
Influenza	<6m	16/17	32	NA	4574
Influenza	<6m	17/18	-26	NA	4363
Influenza	<6m	17/18	0	1	4363
Influenza	<6m	17/18	32	NA	4363
Influenza	<6m	18/19	-26	NA	4327
Influenza	<6m	18/19	0	0	4327
Influenza	<6m	18/19	32	NA	4327
Influenza	<6m	19/20	-26	NA	4308
Influenza	<6m	19/20	0	2	4308
Influenza	<6m	19/20	32	NA	4308
Influenza	<6m	20/21	-26	NA	2865
Influenza	<6m	20/21	0	0	2865
Influenza	<6m	20/21	32	NA	2865
Influenza	6-12m	10/11	-26	NA	0
Influenza	6-12m	10/11	0	NA	0
Influenza	6-12m	10/11	32	NA	0
Influenza	6-12m	11/12	-26	NA	9278
Influenza	6-12m	11/12	0	1	9278
Influenza	6-12m	11/12	32	NA	9278
Influenza	6-12m	12/13	-26	NA	5701
Influenza	6-12m	12/13	0	0	5701
Influenza	6-12m	12/13	32	NA	5701
Influenza	6-12m	13/14	-26	NA	6218
Influenza	6-12m	13/14	0	0	6218
Influenza	6-12m	13/14	32	NA	6218
Influenza	6-12m	14/15	-26	NA	9207
Influenza	6-12m	14/15	0	0	9207
Influenza	6-12m	14/15	32	NA	9207
Influenza	6-12m	15/16	-26	NA	4778
Influenza	6-12m	15/16	0	0	4778
Influenza	6-12m	15/16	32	NA	4778
Influenza	6-12m	16/17	-26	NA	4573
Influenza	6-12m	16/17	0	1	4573
Influenza	6-12m	16/17	32	NA	4573
Influenza	6-12m	17/18	-26	NA	4363
Influenza	6-12m	17/18	0	0	4363
Influenza	6-12m	17/18	32	NA	4363
Influenza	6-12m	18/19	-26	NA	4326
Influenza	6-12m	18/19	0	0	4326
Influenza	6-12m	18/19	32	NA	4326
Influenza	6-12m	19/20	-26	NA	4307
Influenza	6-12m	19/20	0	0	4307
Influenza	6-12m	19/20	32	NA	4307
Influenza	6-12m	20/21	-26	NA	2865
Influenza	6-12m	20/21	0	NA	2865
Influenza	6-12m	20/21	32	NA	2865
Influenza	1	10/11	-26	NA	0
Influenza	1	10/11	0	NA	0
Influenza	1	10/11	32	NA	0
Influenza	1	11/12	-26	NA	19620
Influenza	1	11/12	0	0	19620
Influenza	1	11/12	32	NA	19620
Influenza	1	12/13	-26	NA	12524
Influenza	1	12/13	0	0	12524
Influenza	1	12/13	32	NA	12524
Influenza	1	13/14	-26	NA	13633
Influenza	1	13/14	0	0	13633
Influenza	1	13/14	32	NA	13633
Influenza	1	14/15	-26	NA	19353
Influenza	1	14/15	0	0	19353
Influenza	1	14/15	32	NA	19353
Influenza	1	15/16	-26	NA	9799
Influenza	1	15/16	0	0	9799
Influenza	1	15/16	32	NA	9799
Influenza	1	16/17	-26	NA	9656
Influenza	1	16/17	0	1	9656
Influenza	1	16/17	32	NA	9656
Influenza	1	17/18	-26	NA	9445
Influenza	1	17/18	0	0	9445
Influenza	1	17/18	32	NA	9445
Influenza	1	18/19	-26	NA	9366
Influenza	1	18/19	0	0	9366
Influenza	1	18/19	32	NA	9366
Influenza	1	19/20	-26	NA	8786
Influenza	1	19/20	0	0	8786
Influenza	1	19/20	32	NA	8786
Influenza	1	20/21	-26	NA	6239
Influenza	1	20/21	0	NA	6239
Influenza	1	20/21	32	NA	6239
Influenza	2-4	10/11	-26	NA	0
Influenza	2-4	10/11	0	NA	0
Influenza	2-4	10/11	32	NA	0
Influenza	2-4	11/12	-26	NA	65457
Influenza	2-4	11/12	0	2	65457
Influenza	2-4	11/12	32	NA	65457
Influenza	2-4	12/13	-26	NA	41393
Influenza	2-4	12/13	0	0	41393
Influenza	2-4	12/13	32	NA	41393
Influenza	2-4	13/14	-26	NA	45317
Influenza	2-4	13/14	0	0	45317
Influenza	2-4	13/14	32	NA	45317
Influenza	2-4	14/15	-26	NA	64785
Influenza	2-4	14/15	0	0	64785
Influenza	2-4	14/15	32	NA	64785
Influenza	2-4	15/16	-26	NA	32638
Influenza	2-4	15/16	0	0	32638
Influenza	2-4	15/16	32	NA	32638
Influenza	2-4	16/17	-26	NA	30469
Influenza	2-4	16/17	0	0	30469
Influenza	2-4	16/17	32	NA	30469
Influenza	2-4	17/18	-26	NA	29435
Influenza	2-4	17/18	0	0	29435
Influenza	2-4	17/18	32	NA	29435
Influenza	2-4	18/19	-26	NA	30645
Influenza	2-4	18/19	0	0	30645
Influenza	2-4	18/19	32	NA	30645
Influenza	2-4	19/20	-26	NA	30024
Influenza	2-4	19/20	0	0	30024
Influenza	2-4	19/20	32	NA	30024
Influenza	2-4	20/21	-26	NA	20942
Influenza	2-4	20/21	0	NA	20942
Influenza	2-4	20/21	32	NA	20942
Influenza	5-17	10/11	-26	NA	0
Influenza	5-17	10/11	0	NA	0
Influenza	5-17	10/11	32	NA	0
Influenza	5-17	11/12	-26	NA	249490
Influenza	5-17	11/12	0	0	249490
Influenza	5-17	11/12	32	NA	249490
Influenza	5-17	12/13	-26	NA	164894
Influenza	5-17	12/13	0	0	164894
Influenza	5-17	12/13	32	NA	164894
Influenza	5-17	13/14	-26	NA	191161
Influenza	5-17	13/14	0	0	191161
Influenza	5-17	13/14	32	NA	191161
Influenza	5-17	14/15	-26	NA	282133
Influenza	5-17	14/15	0	0	282133
Influenza	5-17	14/15	32	NA	282133
Influenza	5-17	15/16	-26	NA	144939
Influenza	5-17	15/16	0	0	144939
Influenza	5-17	15/16	32	NA	144939
Influenza	5-17	16/17	-26	NA	145423
Influenza	5-17	16/17	0	0	145423
Influenza	5-17	16/17	32	NA	145423
