jump;param1;description1;Baseline1;param2;description2;Baseline2;K;deltaAIC;Estimate1;Estimate2
22;theta1;Hospitalisation with influenza affected by active infection with RSV;1,000;1/psi1;Duration of influenza refractory period Rf (weeks);0,001;68;68.5;0.2 (0.1-0.6);1.3 (0-2.4)
44;theta1;Hospitalisation with influenza affected by active infection with RSV;1,000;sigma2;Transmission of RSV affected by active infection with influenza;1,000;68;66.3;0.2 (0.1-0.6);0 (0-1.1)
5;theta1;Hospitalisation with influenza affected by active infection with RSV;1,000;NA;NA;NA;67;52.5;0.2 (0-0.6);
43;theta1;Hospitalisation with influenza affected by active infection with RSV;1,000;delta2;Susceptibility to RSV affected by active infection with influenza;1,000;68;51.6;0.2 (0-0.7);0.8 (0.3-1.3)
14;theta1;Hospitalisation with influenza affected by active infection with RSV;1,000;1/omega1;Duration of influenza residually positive period Rv (weeks);0,001;68;51.3;0.2 (0-0.5);0.2 (0-1)
29;theta1;Hospitalisation with influenza affected by active infection with RSV;1,000;delta1;Susceptibility to influenza affected by active infection with RSV;1,000;68;51.1;0.2 (0-0.8);1 (0.9-1.1)
45;theta1;Hospitalisation with influenza affected by active infection with RSV;1,000;theta2;Hospitalisation with RSV affected by active infection with influenza;1,000;68;51.0;0.2 (0-0.5);1.2 (0.4-2.3)
35;theta1;Hospitalisation with influenza affected by active infection with RSV;1,000;sigma1;Transmission of influenza affected by active infection with RSV;1,000;68;51.0;0.2 (0-0.6);1 (0.9-1.1)
42;theta1;Hospitalisation with influenza affected by active infection with RSV;1,000;1/psi2;Duration of RSV refractory period Rf (weeks);0,001;68;50.6;0.2 (0-0.5);0 (0-0.1)
41;theta1;Hospitalisation with influenza affected by active infection with RSV;1,000;1/omega2;Duration of RSV residually positive period Rv (weeks);0,001;68;50.5;0.2 (0-0.8);0 (0-0.3)
28;delta1;Susceptibility to influenza affected by active infection with RSV;1,000;sigma1;Transmission of influenza affected by active infection with RSV;1,000;68;47.8;0.4 (0.2-0.8);2 (1.3-2.6)
20;1/psi1;Duration of influenza refractory period Rf (weeks);0,001;delta1;Susceptibility to influenza affected by active infection with RSV;1,000;68;23.4;1.4 (0-2.3);0.9 (0.8-1)
33;delta1;Susceptibility to influenza affected by active infection with RSV;1,000;sigma2;Transmission of RSV affected by active infection with influenza;1,000;68;21.5;0.9 (0.8-1);0 (0-0.9)
26;1/psi1;Duration of influenza refractory period Rf (weeks);0,001;sigma2;Transmission of RSV affected by active infection with influenza;1,000;68;21.0;0.6 (0-2.7);0 (0-2.7)
53;delta2;Susceptibility to RSV affected by active infection with influenza;1,000;sigma2;Transmission of RSV affected by active infection with influenza;1,000;68;21.0;0.6 (0-1.3);0 (0-1)
25;1/psi1;Duration of influenza refractory period Rf (weeks);0,001;delta2;Susceptibility to RSV affected by active infection with influenza;1,000;68;19.7;1.1 (0-2.2);0.7 (0.1-1.3)
27;theta2;Hospitalisation with RSV affected by active infection with influenza;1,000;1/psi1;Duration of influenza refractory period Rf (weeks);0,001;68;19.5;0.6 (0.1-1.5);1.3 (0.5-2.6)
2;1/psi1;Duration of influenza refractory period Rf (weeks);0,001;NA;NA;NA;67;19.2;1.4 (0.3-2.4);
55;theta2;Hospitalisation with RSV affected by active infection with influenza;1,000;sigma2;Transmission of RSV affected by active infection with influenza;1,000;68;18.6;0.6 (0-1.6);0 (0-0.7)
9;sigma2;Transmission of RSV affected by active infection with influenza;1,000;NA;NA;NA;67;18.3;0 (0-0.7);
