jump;param1;description;K;deltaAIC;Baseline;Estimate
5;theta1;Hospitalisation with influenza affected by active infection with RSV;67;52.5;1,000;0.2 (0-0.6)
2;1/psi1;Duration of influenza refractory period Rf (weeks);67;19.2;0,001;1.4 (0.3-2.4)
9;sigma2;Transmission of RSV affected by active infection with influenza;67;18.3;1,000;0 (0-0.7)
8;delta2;Susceptibility to RSV affected by active infection with influenza;67;10.0;1,000;0.4 (0-0.9)
3;delta1;Susceptibility to influenza affected by active infection with RSV;67; 4.7;1,000;0.9 (0.8-1)
10;theta2;Hospitalisation with RSV affected by active infection with influenza;67; 1.1;1,000;0.6 (0.3-0.8)
0;BASELINE;no interaction;66;0;NA;NA
6;1/omega2;Duration of RSV residually positive period Rv (weeks);67;<0;0,001;NA
7;1/psi2;Duration of RSV refractory period Rf (weeks);67;<0;0,001;NA
4;sigma1;Transmission of influenza affected by active infection with RSV;67;<0;1,000;NA
1;1/omega1;Duration of influenza residually positive period Rv (weeks);67;<0;0,001;NA
