Parameter;virus;age_group;season;estimate
beta;Influenza;all;2010/11;1.99 (1.81-2.12)
beta;Influenza;all;2011/12;2.88 (2.74-3.15)
beta;Influenza;all;2012/13;2.41 (2.17-2.6)
beta;Influenza;all;2013/14;2.86 (2.56-3.02)
beta;Influenza;all;2014/15;2.9 (2.66-3.04)
beta;Influenza;all;2015/16;2.37 (2.2-2.5)
beta;Influenza;all;2016/17;2.6 (2.34-2.83)
beta;Influenza;all;2017/18;2.62 (2.48-2.72)
beta;Influenza;all;2018/19;2.58 (2.29-2.76)
beta;Influenza;all;2019/20;1.99 (1.88-2.27)
beta;RSV;all;2010/11;1.83 (1.56-2.27)
beta;RSV;all;2011/12;1.65 (1.55-1.78)
beta;RSV;all;2012/13;1.45 (1.38-1.52)
beta;RSV;all;2013/14;1.23 (1.16-1.33)
beta;RSV;all;2014/15;1.64 (1.52-1.77)
beta;RSV;all;2015/16;1.66 (1.61-1.9)
beta;RSV;all;2016/17;1.8 (1.66-2.06)
beta;RSV;all;2017/18;1.58 (1.48-1.67)
beta;RSV;all;2018/19;1.99 (1.84-2.14)
beta;RSV;all;2019/20;1.69 (1.49-1.81)
eta;Influenza;all;2010/11;juin 24 (juin 23-août 20)
eta;Influenza;all;2011/12;nov. 27 (nov. 22-déc. 05)
eta;Influenza;all;2012/13;nov. 06 (oct. 25-nov. 17)
eta;Influenza;all;2013/14;nov. 09 (oct. 27-nov. 14)
eta;Influenza;all;2014/15;nov. 15 (nov. 08-nov. 20)
eta;Influenza;all;2015/16;nov. 16 (nov. 12-nov. 21)
eta;Influenza;all;2016/17;oct. 20 (oct. 06-oct. 29)
eta;Influenza;all;2017/18;oct. 23 (oct. 17-oct. 28)
eta;Influenza;all;2018/19;nov. 08 (oct. 30-nov. 16)
eta;Influenza;all;2019/20;sept. 02 (août 12-oct. 01)
eta;RSV;all;2010/11;oct. 06 (sept. 10-oct. 28)
eta;RSV;all;2011/12;août 24 (août 10-sept. 06)
eta;RSV;all;2012/13;juil. 02 (juin 24-juil. 13)
eta;RSV;all;2013/14;juin 29 (juin 25-juil. 10)
eta;RSV;all;2014/15;sept. 03 (août 17-sept. 14)
eta;RSV;all;2015/16;sept. 01 (août 28-sept. 23)
eta;RSV;all;2016/17;août 27 (août 13-sept. 13)
eta;RSV;all;2017/18;août 12 (juil. 29-août 21)
eta;RSV;all;2018/19;sept. 16 (sept. 05-sept. 23)
eta;RSV;all;2019/20;août 16 (juil. 24-août 27)
h;Influenza;<6m;common;0.641% (0.504%-0.91%)
h;Influenza;6-12m;common;0.337% (0.22%-0.522%)
h;Influenza;1;common;0.257% (0.198%-0.383%)
h;Influenza;2-4;common;0.0947% (0.0601%-0.113%)
h;Influenza;5-17;common;0.00853% (0.00665%-0.013%)
h;Influenza;18-49;common;0.00991% (0.00809%-0.012%)
h;Influenza;50-64;common;0.0484% (0.0386%-0.0539%)
h;Influenza;65-74;common;0.189% (0.167%-0.236%)
h;Influenza;75+;common;0.699% (0.64%-0.784%)
h;RSV;<6m;common;6.37% (5.54%-7.04%)
h;RSV;6-12m;common;1.37% (1.09%-1.74%)
h;RSV;1;common;0.557% (0.447%-0.782%)
h;RSV;2-4;common;0.13% (0.0962%-0.155%)
h;RSV;5-17;common;0.00108% (0.000422%-0.00234%)
h;RSV;18-49;common;0.000847% (0.000499%-0.00138%)
h;RSV;50-64;common;0.0107% (0.00689%-0.0119%)
h;RSV;65-74;common;0.0444% (0.0273%-0.0525%)
h;RSV;75+;common;0.2% (0.169%-0.241%)
kappa;Influenza;0-4;common;6.58% (3.3%-9.04%)
kappa;Influenza;5-14;common;1.45% (0.725%-2.55%)
kappa;Influenza;15-64;common;3.49% (2.34%-6.21%)
kappa;Influenza;65+;common;1.49% (0.957%-3.1%)
kappa;RSV;0-4;common;3.06% (1.63%-5.23%)
kappa;RSV;5-14;common;0.806% (0.393%-1.5%)
kappa;RSV;15-64;common;1.26% (0.747%-2.67%)
kappa;RSV;65+;common;0.964% (0.357%-1.71%)
