Iteration,beta1_1011,beta1_1112,beta1_1213,beta1_1314,beta1_1415,beta1_1516,beta1_1617,beta1_1718,beta1_1819,beta1_1920,beta2_1011,beta2_1112,beta2_1213,beta2_1314,beta2_1415,beta2_1516,beta2_1617,beta2_1718,beta2_1819,beta2_1920,eta1_1011,eta1_1112,eta1_1213,eta1_1314,eta1_1415,eta1_1516,eta1_1617,eta1_1718,eta1_1819,eta1_1920,eta2_1011,eta2_1112,eta2_1213,eta2_1314,eta2_1415,eta2_1516,eta2_1617,eta2_1718,eta2_1819,eta2_1920,alpha1,gamma1,alpha2,gamma2,pi_<6m,pi_6-12m,pi_1,pi_2-4,pi_5-17,pi_18-49,pi_50-64,pi_65-74,pi_75+,lh1_<6m,lh1_6-12m,lh1_1,lh1_2-4,lh1_5-17,lh1_18-49,lh1_50-64,lh1_65-74,lh1_75+,lh2_<6m,lh2_6-12m,lh2_1,lh2_2-4,lh2_5-17,lh2_18-49,lh2_50-64,lh2_65-74,lh2_75+,kappa1_0-4,kappa1_5-14,kappa1_15-64,kappa1_65+,kappa2_0-4,kappa2_5-14,kappa2_15-64,kappa2_65+,lromega1,lrpsi1,delta1,sigma1,theta1,lromega2,lrpsi2,delta2,sigma2,theta2,Loglik,Accepted,Season
0,1.86472577638254,3.05653774685588,1.93282881829775,2.44631250474696,2.77332122027526,2.19492519758859,1.72591513018236,1.93017731971795,1.96822983215027,1.60131001340417,1.96312015337401,1.59787045709435,1.42967934657259,1.22826296290425,1.51625851658906,1.71926151250654,1.84268708695289,1.42554852355681,1.94212819417831,1.68657885095884,-22.3998433433806,-2.64585331132788,-5.55588942136577,-7.69530009202089,-5.25634690136652,-5.80809714978758,-14.3493404076994,-13.2729450021375,-6.0294418444616404,-21.206147800318,-10.8212576475555,-19.2549200770849,-25.1207311587859,-25.3359179787702,-26.503648879046,-15.3569030306896,-16.9325984283404,-22.1270348693909,-14.5035504595634,-19.259918022207,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.13202314551002,-2.39112625386147,-2.57481084155345,-3.06081706602306,-3.98859124935181,-3.98360130042799,-3.31504464991273,-2.68673521825052,-2.12089009405397,-1.2061603934469,-1.82573377300944,-2.24314060736757,-2.87432295217557,-4.9874932672838,-5.08380251887965,-4.05861859768167,-3.34439752064282,-2.68455404658627,0.0614308494836226,0.0177584047459112,0.0567748121650599,0.0180769981016573,0.0310560942873187,0.00817750337780109,0.0128087099613284,0.00960775585556696,-3,-3.000000000034861,1.00000034633551,6.93497314083623,1.00000019240689,-3.0000000000067315,-2.9999999999436806,0.999999398107688,1.00000015913456,0.999999699759967,NA,NA,All
50,1.89108375950637,3.00895015625872,1.93608327947435,2.44989629848385,2.73013942933556,2.23528247698221,1.70338818203958,1.93017731971795,1.88260417559982,1.60275434825742,1.96967023313625,1.60593733002235,1.44510084026432,1.21108185567985,1.46681312020035,1.68144241546922,1.84619453361802,1.42554852355681,1.8889753274209,1.66198754005381,-22.2720903286612,-2.6376133990264,-5.59722936565948,-7.68335439874163,-5.27715494502524,-5.76074911460548,-14.3694748563756,-13.2729450021375,-5.97466501670399,-21.2493417873324,-10.9140061725252,-19.2526463547092,-25.0570444294041,-25.3401897016128,-26.5793811562576,-15.3391759348034,-16.9659628800326,-22.1270348693909,-14.5831642514181,-19.2830271724908,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.13507688771777,-2.39233719929579,-2.57687969906691,-3.06868194099005,-3.98723595088538,-3.97790076677342,-3.31519312579315,-2.6897565310992,-2.12531397191083,-1.20479506172797,-1.83020114627061,-2.24133000302691,-2.87692154704005,-4.99264085408128,-5.09192338811725,-4.05730812668878,-3.34771808967629,-2.68721487412428,0.0610955242839456,0.0176464216420445,0.0553835998178723,0.0185998626904447,0.0296579693282678,0.00733388059638874,0.013382897680618,0.0119458466054356,-3,-3.00000000003486,1.00000034633551,6.95421245166311,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-13309.8895393559,0,19/20
100,1.90693014671059,2.9377995402561,1.93113470942872,2.47899466516782,2.69788188807211,2.22904749614742,1.71344212091255,1.93190184540846,1.84285123670414,1.60939432103332,1.97739570912908,1.60188699933229,1.43187849799252,1.22129742432266,1.41754391322031,1.67850777938672,1.86795868448124,1.43145585251479,1.86249780252068,1.66804782017013,-22.3539311357455,-2.75189319903421,-5.57436236026608,-7.6760282691691,-5.29511137663746,-5.8264342125019,-14.3387503143043,-13.3265408180054,-5.94380957622703,-21.2608636279225,-11.0035545080391,-19.4035221732061,-25.0889794642773,-25.4138911379184,-26.4723871009674,-15.3324093897985,-16.9506145388369,-22.1559355005828,-14.5689328586448,-19.279280999987,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.13778855402706,-2.38788692854192,-2.57723987980298,-3.07128282282381,-3.98260503270017,-3.98644965188291,-3.31387836780081,-2.69457592897528,-2.127556833196,-1.19919810333577,-1.83045473170725,-2.2414531012272,-2.8718777018784,-4.99340543472756,-5.0960321812377,-4.06255956559563,-3.34577940307513,-2.68308227401013,0.060861857801158,0.0179396129036844,0.0563236438895618,0.019718664829511,0.0293653416334719,0.00701047968276709,0.0125343355039681,0.0115450450728398,-3,-3.00000000003486,1.00000034633551,6.74888040908514,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-13027.1060639061,1,19/20
150,1.90660623609192,2.89849297509965,1.93288460131,2.47899466516782,2.65918396536273,2.27727749043178,1.69914060561877,1.93190184540846,1.79891373588584,1.60482033726082,1.96765638739494,1.58416785431882,1.4352271621337,1.22129742432266,1.37321579191238,1.63368424462381,1.85764213099752,1.43145585251479,1.85291212294511,1.65709017600021,-22.4397781217405,-2.63853736082533,-5.71940320367014,-7.6760282691691,-5.31847161505623,-5.73562583199333,-14.2418092489788,-13.3265408180054,-5.98721960546048,-21.204882881992,-11.0741235284777,-19.457434988503,-25.0423102012065,-25.4138911379184,-26.400032445776,-15.3425607624055,-16.9198383920698,-22.1559355005828,-14.4879500803421,-19.2420774460918,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.13680907865958,-2.38355082772656,-2.58026393070647,-3.07878304234647,-3.97973326566213,-3.98941178489614,-3.29631990345039,-2.70094873472736,-2.12709391565997,-1.19816733497419,-1.83050627167629,-2.25274905687531,-2.87687629470641,-4.98337695379998,-5.10729107932893,-4.06360270692701,-3.34501085468993,-2.69132084121083,0.0598574910487209,0.0165946660202586,0.0553586172487926,0.021175340601514,0.0316121630533898,0.00768389615471053,0.0113152179089903,0.0112554518513985,-3,-3.00000000003486,1.00000034633551,6.89386164909223,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-12842.8485914737,1,19/20
200,1.89897176454634,2.8911388047541,1.90054194813583,2.48333283657028,2.61025946967028,2.16245746227721,1.71443191119966,1.94328221566372,1.73444682892212,1.5702445000734,1.94656070180868,1.56610584784402,1.46712482915025,1.19576193721701,1.37554571750995,1.61820408050827,1.86435896498137,1.42374410210919,1.88298090123837,1.68194795425418,-22.3860208508288,-2.56372316242508,-5.70898462036833,-7.62793030001374,-5.17763311253173,-5.73753736485117,-14.1757637471078,-13.2733601636171,-5.98061830031347,-21.206293263005,-11.1042005218112,-19.5280051195636,-25.0394713755784,-25.3333827903343,-26.3235031099596,-15.4565163176851,-16.7705117327405,-22.1910275897276,-14.4208636028706,-19.1850191194274,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.15386527492984,-2.38394702303531,-2.57816092014339,-3.07947812477162,-3.98124368366969,-3.99857916342296,-3.29476817488779,-2.70065041647022,-2.14139376712366,-1.1900691079632,-1.83584996378972,-2.25367841376325,-2.88422144313987,-4.9711455498039,-5.10479580640568,-4.05375885535923,-3.34473243509268,-2.70642004560056,0.0595482986030461,0.0170038996051269,0.056070781497661,0.0215883106719404,0.0346542005675567,0.0122197952652582,0.0115807729530832,0.0114870676310503,-3,-3.00000000003486,1.00000034633551,6.92363517425689,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-12527.7342164262,0,19/20
250,1.91918104358858,2.88467946209264,1.90621337676244,2.50709130191284,2.55656502700522,2.14935885421776,1.70085451096025,1.93385611818396,1.75014070445836,1.56968753292639,1.8695560281044,1.57180727661373,1.43685700315604,1.19889805840639,1.37125196301892,1.541665932132,1.86955464973824,1.42266684751836,1.91174053820164,1.68685914107327,-22.1627463198855,-2.42282978707024,-5.71718212260311,-7.77038861750263,-5.19765332611663,-5.70824758486662,-14.1294321930713,-13.2723231922634,-5.96841639171691,-21.3796919954714,-10.9791564247793,-19.4862059292465,-25.0104813465017,-25.2996045819559,-26.2484167309593,-15.4411154518092,-16.8045049176411,-22.1751482571412,-14.4343909265668,-19.0386557574809,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.14698635836878,-2.38661128185384,-2.57523401964273,-3.07587481896343,-3.98358489284079,-3.997591695042,-3.29899391120389,-2.70566598556547,-2.14535794110821,-1.19226215346494,-1.8427606231087,-2.25262736854519,-2.88166903004271,-4.98554882237888,-5.10456863595375,-4.06970987798987,-3.34691438203072,-2.70743696920916,0.0591122578678338,0.0161088949226456,0.0601483172351468,0.0206693100103201,0.0342224177801338,0.0127625362165829,0.0130704168778192,0.0104902841875336,-3,-3.00000000003486,1.00000034633551,6.93638833888485,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-12240.580839567,0,18/19
300,1.93335607178372,2.8370754672309,1.92281336926508,2.5421340742433,2.45820934952645,2.1072449005018,1.72452078882336,1.93385611818396,1.72388727985796,1.60508782537722,1.84134755361975,1.60183082188041,1.43048636252771,1.17507261248045,1.37312766927314,1.49916794597163,1.8380105127107,1.42266684751836,1.94656260747351,1.66773448622526,-22.0032832389001,-2.29968062619481,-5.75620676801322,-7.58378390494978,-5.16816275353489,-5.67271170427764,-14.127308250383,-13.2723231922634,-5.89993751780991,-21.4816123040647,-10.9181447720454,-19.6826248201874,-25.0139610730587,-25.1471507743582,-26.1176784923973,-15.3743747745526,-16.7662152170348,-22.1751482571412,-14.4889818200872,-18.9979901909517,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.1523938064445,-2.38362165336101,-2.59156279830737,-3.06321955064269,-3.98842711006766,-3.99980095336592,-3.30866716557929,-2.71010809645862,-2.15593397762303,-1.18162348585909,-1.81848540239189,-2.23245067064509,-2.88465438265518,-4.97020918221515,-5.09750787563831,-4.0543145904539,-3.34554989465332,-2.71332072783416,0.0584975665850537,0.0167239308746355,0.0598217027577503,0.019548200330931,0.0361408248070783,0.0134425779824237,0.0156318351567097,0.00852615077401695,-3,-3.00000000003486,1.00000034633551,6.91720061867398,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-12011.3460357353,0,18/19
350,2.00444997542731,2.79700358302759,1.93318477322187,2.55772393649324,2.43779817081392,2.08310636979289,1.72760832056271,1.93846104994482,1.73536043405115,1.61650012479218,1.8122449050564,1.62147218442106,1.43176416937588,1.16419500037042,1.36416164568671,1.50079397378667,1.86054390884632,1.41861932770863,1.90885764175021,1.71983654367792,-22.0382096128228,-2.12232764914906,-5.6987713903051596,-7.49204208749297,-5.16126448267295,-5.71471801263775,-14.1467503487088,-13.2642506861609,-5.89421125745127,-21.577166303647,-10.9708275163262,-19.7078939729818,-24.9186287530802,-25.0512906736481,-26.1743397843016,-15.5151283843759,-16.6977005213242,-22.2361959278024,-14.3912258852054,-18.8683077338792,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.15606156926519,-2.39027391900217,-2.58231732536556,-3.07024786994254,-3.97920021739099,-4.01574488290775,-3.28915672414173,-2.70910809086177,-2.14930772368642,-1.18431119643829,-1.80987252883136,-2.2067450021262,-2.87456586362371,-4.97709093806275,-5.11117609391722,-4.05585815965509,-3.35360958099372,-2.71211621140813,0.056329643992256,0.0155090046936493,0.0581138535953,0.0199041060399679,0.0388755626494376,0.0120389296274804,0.0152954625252608,0.00928779668618223,-3,-3.00000000003486,1.00000034633551,7.10968664989378,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-11924.5153454201,0,18/19
400,2.01341837185831,2.78399563182173,1.93061335369398,2.57199102718104,2.36112663287282,2.07304771477631,1.71807323324123,1.93846104994482,1.75105416931914,1.56286901547557,1.7323414218574,1.6138752663567,1.42990041659688,1.16557615329278,1.37905100162123,1.4897728674518,1.83719037575188,1.41861932770863,1.90423348418698,1.71211869673288,-21.9733048031717,-2.01391896647165,-5.6617491414849,-7.48042374389362,-5.27673138650725,-5.68816567910047,-14.1175615977765,-13.2642506861609,-5.81610294211228,-21.6178100282812,-10.8473542952032,-19.7969273324913,-24.9640203291182,-25.036402874231,-26.1867286176956,-15.6103900567526,-16.8051303269551,-22.2361959278024,-14.3629126839134,-18.7773775415201,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.16727244267236,-2.39675884462387,-2.56742681119382,-3.08219417105116,-3.97425467188916,-4.02624837599551,-3.27748097231975,-2.70272239577081,-2.14028649973417,-1.18083995212606,-1.80770973620783,-2.20957654116326,-2.87530935034093,-4.97799131519797,-5.11001246921651,-4.04818830449089,-3.35487932464184,-2.70516791650532,0.053681828979407,0.0138530222585011,0.060435382143661,0.0187833531312504,0.03991067025483,0.007975504876403,0.0153868644475537,0.00772073874770661,-3,-3.00000000003486,1.00000034633551,7.21362670569114,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-11843.327486243,1,18/19
450,2.02696781732821,2.76179879048326,1.92569265315247,2.53856224219975,2.36700282273809,2.04541621957426,1.71828834876416,1.94066627252766,1.7368288985466,1.60672102890348,1.73582682720154,1.58938210243343,1.45736770356323,1.19864742414627,1.37155162059934,1.4676006899608,1.83162555483609,1.41935542193833,1.93088632481529,1.71006892691965,-21.9270682161773,-1.85047731988817,-5.5814966960348,-7.42468230655217,-5.2485443020425,-5.68473589829916,-14.2259709167634,-13.3104595340191,-5.82257664595598,-21.5267784087885,-10.8384624787445,-19.7983528185694,-24.878996527234,-25.012250251151,-26.1241506409567,-15.5763514932246,-16.9159997823526,-22.2227140539235,-14.4174610767515,-18.9310161774019,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.16124013561374,-2.40892004205694,-2.56589751789782,-3.07048119790888,-3.99495005173376,-4.02992500691947,-3.27150366455447,-2.70434615881616,-2.13820015469316,-1.1842618833884,-1.79602136165588,-2.22434212118732,-2.86853686868155,-4.97290826105487,-5.11536569566799,-4.03762264433774,-3.34920643009247,-2.71484803644795,0.0566426855078045,0.0169943873242699,0.0586443032266589,0.0192312269786102,0.0420653460651241,0.00792900466405292,0.0106920650416536,0.00942493650843752,-3,-3.00000000003486,1.00000034633551,6.91213625446542,1.00000019240689,-3.00000000000673,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-11680.4267125446,0,18/19
