Iteration,beta1_1011,beta1_1112,beta1_1213,beta1_1314,beta1_1415,beta1_1516,beta1_1617,beta1_1718,beta1_1819,beta1_1920,beta2_1011,beta2_1112,beta2_1213,beta2_1314,beta2_1415,beta2_1516,beta2_1617,beta2_1718,beta2_1819,beta2_1920,eta1_1011,eta1_1112,eta1_1213,eta1_1314,eta1_1415,eta1_1516,eta1_1617,eta1_1718,eta1_1819,eta1_1920,eta2_1011,eta2_1112,eta2_1213,eta2_1314,eta2_1415,eta2_1516,eta2_1617,eta2_1718,eta2_1819,eta2_1920,alpha1,gamma1,alpha2,gamma2,pi_<6m,pi_6-12m,pi_1,pi_2-4,pi_5-17,pi_18-49,pi_50-64,pi_65-74,pi_75+,lh1_<6m,lh1_6-12m,lh1_1,lh1_2-4,lh1_5-17,lh1_18-49,lh1_50-64,lh1_65-74,lh1_75+,lh2_<6m,lh2_6-12m,lh2_1,lh2_2-4,lh2_5-17,lh2_18-49,lh2_50-64,lh2_65-74,lh2_75+,kappa1_0-4,kappa1_5-14,kappa1_15-64,kappa1_65+,kappa2_0-4,kappa2_5-14,kappa2_15-64,kappa2_65+,omega1,psi1,delta1,sigma1,theta1,omega2,psi2,delta2,sigma2,theta2,Loglik,Accepted,Season
0,1.88167206051331,2.76795052315726,2.28720056386921,2.55728356173814,2.76000384102131,2.30235016235749,2.36070766920066,2.46400126062193,2.43984189646588,2.02379898613514,1.85592769257248,1.62572206476468,1.41630902075008,1.66702665766455,1.58559937260088,1.74748008541097,1.82214435761968,1.54840167800684,1.98922716398507,1.66924198227962,-20.2583041911575,-4.06433494968726,-7.4322588758781,-7.85221599767544,-5.25694574979752,-5.66551774655166,-10.7407119233169,-9.13047621751932,-6.70881297780233,-14.4688707835335,-11.675631401869,-18.7131959770118,-25.5324299480069,-43.5881003741176,-16.7679636042957,-15.2577873254727,-17.2990825901153,-20.3321133664803,-14.6015377883014,-18.6153460993502,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.20304239410701,-2.41779880966859,-2.55520827517945,-3.0508836712795,-4.05458164545952,-3.99708002149221,-3.31920478454445,-2.71488704111085,-2.14832868849164,-1.2182250424167,-1.81731169193889,-2.25956452107923,-2.86089659514793,-5.22167785804736,-5.06896278199483,-4.03662319101512,-3.37464500183774,-2.67416483861009,0.0563252626344217,0.0154466735828449,0.0438921020918108,0.0220601449306058,0.045482876116157,0.00611344306449342,0.0119064009836889,0.00817091906880183,1000,1000.00000008027,1.00000034633551,1.000000444365,1.00000019240689,1000.0000000155,999.99999987032,0.999999398107688,2.46320004830715,0.999999699759967,NA,NA,All
50,1.90819049878185,2.77140830174834,2.25408777229659,2.59674212720063,2.76000384102131,2.29862709380297,2.36844667148305,2.47968108113983,2.44366079681172,2.0166574427977,1.88112844278844,1.62434665453578,1.4224427739562,1.62756778445072,1.58559937260088,1.74292290801291,1.79510820027087,1.54399235251555,1.94139504108831,1.68195185271947,-20.2067404977269,-4.18945439240804,-7.3976149240677,-7.88830432251675,-5.25694574979752,-5.66445204650338,-10.761152305162,-8.9663178846006,-6.65138418856817,-14.4417043539074,-11.6488618119645,-18.7052322519206,-25.5180433219015,-43.4099753350033,-16.7679636042957,-15.2322879379475,-17.3895022282113,-20.4195822253052,-14.5828791509208,-18.53916572443,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.20304239410701,-2.41779880966859,-2.55520827517945,-3.0508836712795,-4.05458164545952,-3.99708002149221,-3.31920478454445,-2.71488704111085,-2.14832868849164,-1.2182250424167,-1.81731169193889,-2.25956452107923,-2.86089659514793,-5.22167785804736,-5.06896278199483,-4.03662319101512,-3.37464500183774,-2.67416483861009,0.0563252626344217,0.0154466735828449,0.0438921020918108,0.0220601449306058,0.045482876116157,0.00611344306449342,0.0119064009836889,0.00817091906880183,1000,1000.00000008027,1.00000034633551,1.000000444365,1.00000019240689,1000.0000000155,999.99999987032,0.999999398107688,2.46320004830715,0.999999699759967,-13201.5879662206,1,19/20
100,1.90225767504447,2.77347814807446,2.25694898855981,2.59143105257648,2.76420464094601,2.28237237121707,2.38670703712446,2.47968108113983,2.43073495249962,2.01502708609943,1.91365804195067,1.61843568450657,1.42308943038803,1.64688290423997,1.59029786743614,1.72825930582025,1.79731400430301,1.54399235251555,1.93917770063938,1.63719504641109,-20.2597746431709,-4.25476683222325,-7.47795131408904,-7.7790691238797,-5.24192768137553,-5.64427009659809,-10.832665724947,-8.9663178846006,-6.70224454932399,-14.4760144947017,-11.5886992374268,-18.7283719100276,-25.5150017815971,-43.3712846011202,-16.7463362765968,-15.1773110568037,-17.3769725829714,-20.4195822253052,-14.6265322104002,-18.4902509190837,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.20304239410701,-2.41779880966859,-2.55520827517945,-3.0508836712795,-4.05458164545952,-3.99708002149221,-3.31920478454445,-2.71488704111085,-2.14832868849164,-1.2182250424167,-1.81731169193889,-2.25956452107923,-2.86089659514793,-5.22167785804736,-5.06896278199483,-4.03662319101512,-3.37464500183774,-2.67416483861009,0.0563252626344217,0.0154466735828449,0.0438921020918108,0.0220601449306058,0.045482876116157,0.00611344306449342,0.0119064009836889,0.00817091906880183,1000,1000.00000008027,1.00000034633551,1.000000444365,1.00000019240689,1000.0000000155,999.99999987032,0.999999398107688,2.46320004830715,0.999999699759967,-13202.2582721178,1,19/20
150,1.90524895887104,2.76230219388799,2.28818038922722,2.59245766757708,2.76420464094601,2.29731085631693,2.36979513328176,2.47555269239119,2.41888155555735,2.03637206501296,1.88411262249826,1.61817253735048,1.44300513570116,1.61098746274572,1.59029786743614,1.74281312225529,1.81193921903937,1.51447471446657,1.94420920837221,1.65177808532797,-20.384875159055,-4.2338067068631,-7.46246534821005,-7.82081013066541,-5.24192768137553,-5.65564662375255,-10.8433165640403,-8.96788307817282,-6.7183754307068,-14.4521955732154,-11.6552622991069,-18.7348879842833,-25.5003807302086,-43.5464888067661,-16.7463362765968,-15.1887044424435,-17.4133727950336,-20.5056910949578,-14.6755327738145,-18.4460147625694,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.19606783155083,-2.41680334664065,-2.56365961808835,-3.05240168854887,-4.05023546740839,-4.00159064823414,-3.32398719448326,-2.70771770560739,-2.15071255260031,-1.21886486490617,-1.8220890557463,-2.25889650073482,-2.86502954370091,-5.23245804045655,-5.06627474106741,-4.04327229212872,-3.37341606307004,-2.66933237205796,0.0543088157237407,0.015179824531663,0.0423414480417157,0.0221317346542319,0.0447427302510992,0.00729461362991153,0.0120613752550991,0.00932712835979968,1000,1000.00000008027,1.00000034633551,1.000000444365,1.00000019240689,1000.0000000155,999.99999987032,0.999999398107688,2.19341587452884,0.999999699759967,-13197.7130336588,1,19/20
200,1.90524895887104,2.78484222536802,2.30360180926202,2.60045385015208,2.73953404796698,2.28887923059815,2.40086880668663,2.49351625802551,2.42252053531932,2.06368536576762,1.88411262249826,1.60606014094176,1.43261834988193,1.54077542948367,1.58058877277209,1.76212846573697,1.80598021922602,1.50920725715084,1.92288662940381,1.64785346502921,-20.384875159055,-4.18078831165545,-7.41299756829519,-7.78594524601039,-5.3018292359116,-5.62428121400911,-10.8148352882463,-9.07581807640271,-6.71533209214328,-14.4647583208132,-11.6552622991069,-18.7056415821399,-25.4632860907216,-43.5807468899627,-16.7942305473314,-15.3575237665745,-17.4013346390292,-20.4166299959856,-14.6532304658295,-18.3739819055671,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.1969124474624,-2.41487822656194,-2.5679540919014,-3.05764081366183,-4.06241338628903,-3.99795333297997,-3.31768190581158,-2.72421907216751,-2.14955596330748,-1.21771860251685,-1.82158252602511,-2.2655210669021,-2.88205751727124,-5.20925092556466,-5.07517987899936,-4.04186220537624,-3.37645318218545,-2.68671897556372,0.0577809467704167,0.0174107607467071,0.0460346366492521,0.0192209348895823,0.0414073967082661,0.00715977661236699,0.0100151830885357,0.00917034982318163,1000,1000.00000008027,1.00000034633551,1.000000444365,1.00000019240689,1000.0000000155,999.99999987032,0.999999398107688,2.13878605850435,0.999999699759967,-13202.9562604907,0,19/20
250,1.94258772468701,2.78484222536802,2.30350019823544,2.61657443756832,2.76847445677688,2.2799304326984,2.38528332067914,2.48551976789647,2.40966632849552,2.04558163626424,1.87092649135703,1.60606014094176,1.43938390053395,1.54635995537065,1.59763863614952,1.72687418157817,1.81432252662071,1.51171231157261,1.94820344040386,1.65328507438169,-20.3893229643231,-4.18078831165545,-7.42606713387059,-7.79987751772458,-5.32991056066043,-5.71334516888117,-10.8308590175169,-9.14257435040317,-6.59705520220629,-14.4192167048527,-11.6121999666591,-18.7056415821399,-25.4853614427625,-43.7027231456785,-16.8211206029842,-15.4255948502064,-17.3536729245522,-20.4969334963792,-14.6761446594203,-18.2398881525596,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.19833117580557,-2.40716788471789,-2.56851571910536,-3.05508571081158,-4.06515344626437,-3.99990077268931,-3.32485575090733,-2.72875567950147,-2.14870159624001,-1.21685324935097,-1.82148316994834,-2.26383080193213,-2.8862601745927,-5.21965442255101,-5.07471075645846,-4.03781590693771,-3.37467330532536,-2.6962088417583,0.0587681053307496,0.0167324261906,0.0461323501845729,0.0184710336229634,0.0422974015374247,0.00659727093879166,0.0100954772693825,0.00855240238681265,1000,1000.00000008027,1.00000034633551,1.000000444365,1.00000019240689,1000.0000000155,999.99999987032,0.999999398107688,2.18119020378598,0.999999699759967,-13201.3265850249,0,18/19
300,1.91608153789556,2.78144802937444,2.27539677311325,2.63971201421025,2.76558991669167,2.28771441302755,2.38208901130397,2.4558315577443,2.43769313011984,2.03581159820622,1.90242164298103,1.61198799195908,1.44938267198796,1.5774536450628,1.5670017419262,1.73387998549287,1.83098205251305,1.51767826488739,1.96900549609159,1.66667553628288,-20.214354244516,-4.09407962779502,-7.39653948305217,-7.65065814435098,-5.31062478076617,-5.714974418721,-10.81897029519,-9.10720130305646,-6.63295957728862,-14.4507379035535,-11.6177162680964,-18.7559507765093,-25.5156299211244,-43.659655097294,-16.8723086042313,-15.4611107729862,-17.3974339517984,-20.5265944530856,-14.7087569343144,-18.2712690916411,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.20660776083751,-2.41958302722289,-2.57417839000614,-3.06485138398497,-4.04890959913,-3.99805029782234,-3.32879892534274,-2.72250275681616,-2.14539979163068,-1.22150942874755,-1.80599055729884,-2.25797397239686,-2.89521425793242,-5.20999406509033,-5.06754367583849,-4.04910580564267,-3.37731370582646,-2.69642725569177,0.0603588057960814,0.017154667476372,0.0457757173777728,0.0172919168111182,0.0376164185559254,0.0100670956861499,0.0140497999656102,0.00862864058196146,1000,1000.00000008027,1.00000034633551,1.000000444365,1.00000019240689,1000.0000000155,999.99999987032,0.999999398107688,2.32073786700368,0.999999699759967,-13198.9687547712,0,18/19
350,1.90355425154549,2.78213449794637,2.27190980247212,2.63098069790387,2.78350814610395,2.29885270780703,2.3806773562453,2.47556297080815,2.45369359883704,2.03199898477509,1.87489210334683,1.60929543425461,1.44407257356878,1.56829562056583,1.58629957171683,1.73530218050979,1.83659488304988,1.53314807731028,1.95949472675955,1.67599430846189,-20.2380065904815,-4.15659006100035,-7.40910827303287,-7.7142780300985,-5.25417809051683,-5.71635420338541,-10.9795731606176,-9.03548116100358,-6.70423647377135,-14.5133522048119,-11.5515208015177,-18.7869245347013,-25.5708300797683,-43.5455891736564,-16.7957527196692,-15.5517281309768,-17.3987117114468,-20.5751449816143,-14.6961513480302,-18.2152436183428,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.20660776083751,-2.41958302722289,-2.57417839000614,-3.06485138398497,-4.04890959913,-3.99805029782234,-3.32879892534274,-2.72250275681616,-2.14539979163068,-1.22150942874755,-1.80599055729884,-2.25797397239686,-2.89521425793242,-5.20999406509033,-5.06754367583849,-4.04910580564267,-3.37731370582646,-2.69642725569177,0.0603588057960814,0.017154667476372,0.0457757173777728,0.0172919168111182,0.0376164185559254,0.0100670956861499,0.0140497999656102,0.00862864058196146,1000,1000.00000008027,1.00000034633551,1.000000444365,1.00000019240689,1000.0000000155,999.99999987032,0.999999398107688,2.32073786700368,0.999999699759967,-13200.5112802176,0,18/19
400,1.92164094318351,2.76940134320899,2.28850798085296,2.58252503705354,2.78350814610395,2.2703595205925,2.37385030979522,2.49002116181729,2.4407920216305,2.00342962288329,1.89158812759202,1.60424530626571,1.43095692158976,1.50911053552762,1.58629957171683,1.71459011316099,1.79964855314054,1.54377266891992,1.95521907444209,1.66679754096914,-20.144164766185,-4.16424648638561,-7.4004014325644,-7.73785949085806,-5.25417809051683,-5.72091888350891,-10.9778619636416,-9.05728213910597,-6.67350412062455,-14.6139603897538,-11.4540418232708,-18.8300149551139,-25.5566669996892,-43.5431296365063,-16.7957527196692,-15.6157849608672,-17.2830446561936,-20.5878616307795,-14.7462853760473,-18.219246373498,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.20970578492122,-2.41923068952966,-2.57589168554151,-3.06771237861676,-4.04828059720806,-4.0006037131895,-3.33133729562154,-2.71939657297563,-2.14821861372182,-1.22333732095383,-1.80486523491782,-2.25432719932952,-2.88626606927956,-5.20351035933594,-5.06552261073877,-4.05480539616208,-3.37277549580259,-2.69998874592806,0.0612557231871364,0.0173033864590215,0.0455435727505712,0.0170243196492647,0.037946283390601,0.0101594355037936,0.0151226984668272,0.0095664362938266,1000,1000.00000008027,1.00000034633551,1.000000444365,1.00000019240689,1000.0000000155,999.99999987032,0.999999398107688,2.32468668478263,0.999999699759967,-13201.1602667469,0,18/19
450,1.90596949031586,2.76940134320899,2.27707388291432,2.59303063958151,2.78350814610395,2.275052662128,2.39083393423884,2.45877208191841,2.43799325121917,2.00620725637701,1.92524917376262,1.60424530626571,1.41190921506497,1.57393688466968,1.58629957171683,1.71482657491396,1.82885541298115,1.53856786593194,1.94730772535377,1.6721304129301,-20.1586139141599,-4.16424648638561,-7.43475009573869,-7.60873215158404,-5.25417809051683,-5.7582812589514,-10.9197540284206,-8.9748586487638,-6.65248424660911,-14.6438376444784,-11.4923127962679,-18.8300149551139,-25.4844551362796,-43.6016235818395,-16.7957527196692,-15.5934471791891,-17.2683242188161,-20.653568749352,-14.7539430093306,-18.2295178448782,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.21239755331672,-2.42026818950418,-2.5719244553021,-3.07986118925826,-4.0419468424507,-4.00997106136724,-3.33731959385543,-2.72406079748937,-2.15893777080791,-1.22668172091333,-1.80810214227839,-2.2444539821813,-2.89509430353261,-5.20295977396766,-5.06307735841062,-4.06256764318878,-3.37087087488005,-2.69470679504157,0.061434677760241,0.0197414660828408,0.0474555404687185,0.0189783000659291,0.0377607857103353,0.00907594736224158,0.0169796902647004,0.0108310761357349,1000,1000.00000008027,1.00000034633551,1.000000444365,1.00000019240689,1000.0000000155,999.99999987032,0.999999398107688,2.12977682451365,0.999999699759967,-13207.4233984055,1,18/19
