Iteration,beta1_1011,beta1_1112,beta1_1213,beta1_1314,beta1_1415,beta1_1516,beta1_1617,beta1_1718,beta1_1819,beta1_1920,beta2_1011,beta2_1112,beta2_1213,beta2_1314,beta2_1415,beta2_1516,beta2_1617,beta2_1718,beta2_1819,beta2_1920,eta1_1011,eta1_1112,eta1_1213,eta1_1314,eta1_1415,eta1_1516,eta1_1617,eta1_1718,eta1_1819,eta1_1920,eta2_1011,eta2_1112,eta2_1213,eta2_1314,eta2_1415,eta2_1516,eta2_1617,eta2_1718,eta2_1819,eta2_1920,alpha1,gamma1,alpha2,gamma2,pi_<6m,pi_6-12m,pi_1,pi_2-4,pi_5-17,pi_18-49,pi_50-64,pi_65-74,pi_75+,lh1_<6m,lh1_6-12m,lh1_1,lh1_2-4,lh1_5-17,lh1_18-49,lh1_50-64,lh1_65-74,lh1_75+,lh2_<6m,lh2_6-12m,lh2_1,lh2_2-4,lh2_5-17,lh2_18-49,lh2_50-64,lh2_65-74,lh2_75+,kappa1_0-4,kappa1_5-14,kappa1_15-64,kappa1_65+,kappa2_0-4,kappa2_5-14,kappa2_15-64,kappa2_65+,lromega1,lrpsi1,delta1,sigma1,theta1,lromega2,lrpsi2,delta2,sigma2,theta2,Loglik,Accepted,Season
0,1.89239102080994,2.86754153400557,2.30515043820301,2.74806082338867,2.71831635237929,2.26701299370057,2.4441069110963,2.24242937577689,2.4762346838065,2.02356277971987,1.91775606273671,1.59281495851841,1.42315256203887,1.21522082539118,1.60614706979929,1.7644610791052,1.87990192347027,1.48411673114783,1.98372464518562,1.67042853270384,-26.0566855862913,-3.5920822278295,-6.96688434166629,-6.64324227987447,-5.65644520136095,-5.80035849507123,-10.1494869422477,-12.3840848835125,-6.36902007408366,-14.5141735003934,-11.6791454032413,-18.9733738689051,-25.151151554105,-25.1785788403969,-16.3772423469872,-14.8696597841692,-16.602956989453,-21.0809294621703,-14.3136787390722,-18.3754605528685,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.10924568805381,-2.52155605374732,-2.5668088436947,-3.03494934834089,-4.03942008121966,-4.00863987613076,-3.31141210766352,-2.67688178486583,-2.1447115777553,-1.19158996108134,-1.81910528590655,-2.22132718094597,-2.92592342842135,-5.01968944502377,-5.01540123600151,-4.05286680342019,-3.4345301843841902,-2.69098857109668,0.0565973366075343,0.0173502352540258,0.0410166801495479,0.0181033620677741,0.0352920068703461,0.00788474007592168,0.0139519535967642,0.00935498767875305,-3,-3.000000000034861,1.00000034633551,1.000000444365,1.00000019240689,-2.7131702528876707,-2.9999999999436806,0.999999398107688,1.00000015913456,0.999999699759967,NA,NA,All
50,1.88933910369865,2.8667204345118,2.28816052500451,2.78458328232752,2.71144644713424,2.26852604156739,2.42292776826043,2.23237989323472,2.48767986660708,2.00835910036185,1.90314770088993,1.58000335619492,1.45282779275262,1.20132261068743,1.60001012158232,1.76186903500306,1.87772788206763,1.50334401384784,1.97466839767692,1.67165785340288,-26.0607644617564,-3.59943913433898,-6.97709668690911,-6.6886088515113,-5.63021778429635,-5.76816803151565,-10.1144966031621,-12.3864068648071,-6.29039301709089,-14.4938635069263,-11.7561313485309,-19.0229596191572,-25.1932955782187,-25.0835059368003,-16.4421836418841,-14.8433191645241,-16.6325581931183,-21.0798289061529,-14.3264370840721,-18.304004886439,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.11543010955429,-2.51892408066116,-2.5746947077422,-3.03684613179045,-4.05668839218955,-4.01083192900682,-3.32093685434716,-2.6749345745291,-2.14568708089305,-1.20118476514738,-1.80744519596972,-2.22483939079216,-2.92526496248237,-5.01374114751823,-5.01864320627308,-4.05720688638238,-3.43590167900844,-2.67949785475331,0.0559233012604865,0.0154499760403625,0.0413366301588871,0.0182511333087805,0.0365501954047425,0.00758943916011149,0.0129687647283598,0.00837635243669171,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-2.61145688724923,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-11217.0399834193,0,19/20
100,1.87223992675943,2.87233351799594,2.30140059135013,2.77128229926799,2.68368405953113,2.2766099853536,2.41373976122927,2.23555269136245,2.48155320948491,2.0523172334695,1.8862270640124,1.59440537056741,1.43797613338714,1.19155276477983,1.59444240688867,1.77490624702246,1.87321896803651,1.50625856527396,1.97593915533433,1.67522617321786,-26.0163866385948,-3.65153449297876,-7.0123565238206496,-6.70335075715365,-5.65493912989676,-5.67555011294856,-10.156332233238,-12.4068592691645,-6.28114091920965,-14.3666827700305,-11.7221292115704,-18.9908864517617,-25.2281293814041,-25.073802154151,-16.5686702459049,-14.8079916531074,-16.6137640261334,-21.0653274976492,-14.2074862048984,-18.3044220222081,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.12118718547324,-2.51813759848961,-2.58482257783823,-3.0395239815577,-4.05415502276047,-4.00532461047527,-3.32030628538435,-2.67537532197872,-2.15255497967164,-1.1929115508149,-1.80586965444821,-2.21896515033687,-2.92487264953397,-5.00873234832214,-5.01682992235833,-4.0615357010718,-3.43907194888382,-2.68095686849488,0.0536480115755219,0.0145179699541892,0.041180063796154,0.0195470316154879,0.0353970125759032,0.00724441794603894,0.0117542352978572,0.00885186151596154,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-2.61647119414726,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-11218.4739695336,1,19/20
150,1.89869124033457,2.87233351799594,2.33315073555357,2.76499649385763,2.71339098965138,2.30141711493084,2.40927218128237,2.23995089889115,2.48155320948491,2.02030945109734,1.84238282966343,1.59440537056741,1.44569057822736,1.21209537382509,1.58755929861376,1.77908854545544,1.87055654298593,1.51902235616487,1.97593915533433,1.65366037955406,-25.9742633325786,-3.65153449297876,-6.99382301941078,-6.60637057822464,-5.67710473923599,-5.61662958761272,-10.1017470295719,-12.4554977024184,-6.28114091920965,-14.444704918334,-11.8216957487142,-18.9908864517617,-25.3088896603009,-24.9301998003617,-16.6313562432755,-14.7409996222939,-16.5618746826477,-21.1145076396545,-14.2074862048984,-18.3985246678,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.13299360540987,-2.51469796484488,-2.57809446924587,-3.04191455602886,-4.05906119729443,-4.00111679490015,-3.31443105588773,-2.69108562969872,-2.1524958333241,-1.19586403613737,-1.80043194254948,-2.20860136154832,-2.93089409414572,-5.01981289861297,-5.01296289830789,-4.06050783324115,-3.43521228214262,-2.68968982519872,0.0528667060430622,0.0181639700541341,0.0400983177982636,0.0196954590462624,0.0360742782999203,0.00590418658073871,0.0100130297659652,0.00881060896454002,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-2.5852467433942,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-11223.5341976415,0,19/20
200,1.86405088773987,2.83550564524846,2.31614132142522,2.75853889634067,2.71738244965198,2.26847276206398,2.43050933238754,2.24715471181115,2.48155320948491,2.02403053044742,1.88676851095449,1.61123660501867,1.44534787772545,1.20465119504389,1.60059963600536,1.78997613291107,1.88984210687339,1.50314980377438,1.97593915533433,1.63166416422791,-26.0205981907338,-3.76648918577338,-6.9962138392222,-6.60179078745241,-5.67704690557211,-5.62006201532965,-10.231833370628,-12.4927503486021,-6.28114091920965,-14.5391497939273,-11.7514011631466,-18.970239743403,-25.2309415860859,-25.0530513545925,-16.6131347909345,-14.816290593547,-16.4935835297397,-21.0626685481028,-14.2074862048984,-18.4915370715373,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.12436924335981,-2.5295344259907,-2.57566809658846,-3.04761743725244,-4.05522402939987,-4.01058028639566,-3.32284562794379,-2.69615839939486,-2.15013043302287,-1.19443144713275,-1.8103343758444,-2.20708836133257,-2.93754707623604,-5.01842337015571,-5.00566232759125,-4.05243648441334,-3.43223351671209,-2.69873256577232,0.0543364109609596,0.017447792311525,0.0395777299387319,0.0227271161282852,0.0369087110595743,0.00584824072211289,0.011021385493039,0.00838877676189244,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-2.59283241396966,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-11222.4085162005,1,19/20
250,1.87254546153652,2.85568772110837,2.29146127381359,2.72467893930877,2.71839678538769,2.30810946366382,2.43609757640762,2.22870161640185,2.4796034882229,2.02440796889123,1.87698990964637,1.61780337213723,1.44256018129511,1.19153139152429,1.59116903571012,1.76938946027408,1.88557503961521,1.50061626818107,2.01052486465739,1.6435434175893,-25.9547425935209,-3.79274487149093,-7.01883944346748,-6.60684837504954,-5.6953748987885,-5.65132946703634,-10.2203417469483,-12.4733493498745,-6.2466185979851,-14.6019269305864,-11.7908570545304,-18.9156040100999,-25.1301972717395,-24.9980877374085,-16.5229406687666,-14.8469437208897,-16.5000096289098,-21.0403133524809,-14.1720912522497,-18.6477576020147,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.13873334783572,-2.55212922038634,-2.58788954400468,-3.04137970722027,-4.05803888239175,-4.03240553710197,-3.336655690292,-2.68986399017818,-2.15349320003574,-1.20214389067834,-1.81590742634592,-2.21023919454599,-2.94877475762395,-5.03266023917818,-5.01341470950875,-4.06048973450614,-3.43237252442397,-2.6946605214584,0.0545069400934329,0.0143529734494479,0.043600079373201,0.0185293122704565,0.0338885348684669,0.00944915437041985,0.0123287506347954,0.00546180899516984,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-2.90967074165881,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-11224.1840371828,1,18/19
300,1.88731716652887,2.85568772110837,2.30242796164019,2.74941041462565,2.70968740277775,2.30189362201188,2.40267575795269,2.24057576017094,2.45919054296609,2.00639998362369,1.87160929117204,1.61780337213723,1.45350996213494,1.22720475904799,1.5942020278537,1.79754687920072,1.87594596127581,1.49653359171108,1.98498125434189,1.68133565873236,-25.9582511524937,-3.79274487149093,-6.93514773858677,-6.58065307228316,-5.66941083278864,-5.59886277517312,-10.3012344845729,-12.492345884055,-6.23600390316027,-14.5897833183191,-11.8663945676275,-18.9156040100999,-25.1740353639061,-24.9865151128148,-16.5277470986765,-14.7060888668739,-16.4888439790938,-21.028385575367,-14.2959454046071,-18.5874143572042,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.13243819241098,-2.55222207477152,-2.58261252215349,-3.04806363774783,-4.05071559605067,-4.03506738994165,-3.33085113650073,-2.68688795970178,-2.15273994676029,-1.20818106584267,-1.82323804797073,-2.21247939538929,-2.93291611282831,-5.04062812665943,-5.0213133880068,-4.0730905291072,-3.4381451215656,-2.69213397961076,0.0542037259603762,0.0183900922201948,0.0429137025145259,0.0200509894328003,0.035538479459596,0.00897492648782195,0.0147596899147979,0.0051104558664557,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.00307288767348,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-11225.393176173,1,18/19
350,1.88731716652887,2.86078255091035,2.32013064801585,2.7510514864116,2.70968740277775,2.29722151038886,2.40352392548593,2.25055745965597,2.49047810339389,2.0455649147678,1.87160929117204,1.59590211658945,1.44791987262461,1.2070074063586,1.5942020278537,1.80777448670251,1.88446826152356,1.52814460311016,1.99054680748691,1.66644391978875,-25.9582511524937,-3.80512037071713,-6.91603135383196,-6.66510002613694,-5.66941083278864,-5.57592773643016,-10.1584102366661,-12.3437979715463,-6.17980368543082,-14.4999842666866,-11.8663945676275,-18.8624819212915,-25.0929153202872,-24.9868083085382,-16.5277470986765,-14.6025689274545,-16.4885003693157,-20.907584996941,-14.3087014517482,-18.6661429889533,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.14149222345146,-2.55368818012238,-2.57631203118376,-3.04777454651934,-4.04372661937413,-4.03233977435762,-3.34149749108864,-2.6862878950679,-2.15048041922953,-1.2020134489137,-1.8291236323366,-2.20978649186587,-2.92709966988592,-5.03481387131614,-5.02647503756621,-4.06948173238492,-3.43087640403743,-2.69379994965176,0.0553741232405903,0.0184058066819474,0.0425829941145367,0.0197976095841626,0.0349575158952706,0.00896667925984815,0.0129075107790035,0.00521064265096899,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.07687364668263,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-11221.9882397422,1,18/19
400,1.84929288269854,2.86606370941304,2.32506130481162,2.75391560860793,2.71188664186249,2.3013669276108,2.41176375631746,2.26598971066444,2.46773354301005,2.04274649425405,1.85947526756866,1.59830120961968,1.43058175654603,1.2124079884304,1.58216005593304,1.78549512655033,1.89496087230394,1.48785954288988,1.982914556758,1.66636035814629,-25.87782696459,-3.6431709659944,-6.9995052319467,-6.6628732546462,-5.66754118547601,-5.61520302892927,-10.0588219855822,-12.3466307040651,-6.27377732124849,-14.3536788811931,-11.8873453730862,-18.7620687356839,-25.0589304281289,-25.0129547590422,-16.5464232676706,-14.6270498161666,-16.3329486160445,-20.8123360391256,-14.2800675883058,-18.6400631062287,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.15196306301838,-2.5698969309935,-2.56059492940844,-3.04876126472763,-4.04027097398164,-4.02468008404457,-3.3277761730116,-2.69416230992677,-2.14140924616422,-1.20471394030635,-1.82057022215055,-2.19314237469319,-2.93371104783041,-5.03851171586666,-5.0315731129703,-4.0528612291297,-3.43326364098712,-2.68926032781836,0.0505741306127268,0.0206989992796172,0.0389485930481569,0.0196504594705295,0.0353178611723014,0.00794717244012936,0.0127116960360711,0.00783041592513603,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.43062687186733,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-11222.8984228168,0,18/19
450,1.86465627126257,2.86422436001769,2.32506130481162,2.75391560860793,2.7267274616992,2.28207581149277,2.45683217914011,2.24421756113034,2.49923407701026,2.05156300603682,1.85775535228962,1.60330903611223,1.43058175654603,1.2124079884304,1.58824871802796,1.79796876619096,1.91553763942138,1.49773531292638,1.95853697027413,1.67103333324558,-25.8527192109216,-3.57760044686599,-6.9995052319467,-6.6628732546462,-5.57797469456039,-5.6144397354354,-9.98919732181402,-12.3519338907738,-6.33948528748852,-14.3950423569863,-11.8700473415608,-18.7352010705092,-25.0589304281289,-25.0129547590422,-16.5519320397218,-14.7286232842623,-16.3326180051492,-20.8264290605164,-14.4171784144191,-18.7602226899004,2.68199219822906,1.52838389719892,1.55555567096163,0.906735395569924,0.505569093294629,0.505568510213577,0.542423295383888,0.645128743653648,0.999999654320567,0.839312184375599,0.686365732674007,0.484882772849465,0.338111817657018,-2.15348037327726,-2.56152988896099,-2.55692276570999,-3.05461800825377,-4.04774508364804,-4.02435459343393,-3.33303673391842,-2.69173451681681,-2.13278983065759,-1.19361919927257,-1.83310311908306,-2.17634707890307,-2.91853629254417,-5.04977768871967,-5.00450267039272,-4.06426815896895,-3.43918465844809,-2.67520446505307,0.0463712673730181,0.0160404644582842,0.0394097898355091,0.0163611381549928,0.0329422342208907,0.00736908360361168,0.014480840862903,0.008924989438658,-3,-3.00000000003486,1.00000034633551,1.000000444365,1.00000019240689,-3.48807198845135,-2.99999999994368,0.999999398107688,1.00000015913456,0.999999699759967,-11222.6717293226,0,18/19
